plan_id;subject_id;year_suggested;semester_suggested
15;16;1;1
15;17;1;1
15;18;1;1
15;19;1;1
15;20;1;2
15;21;1;2
15;22;1;2
15;23;1;2
15;24;2;1
15;25;2;1
15;26;2;1
15;27;2;1
15;28;2;2
15;29;2;2
15;30;2;2
15;31;2;2
15;32;3;1
15;33;3;1
15;34;3;1
15;35;3;1
15;36;3;2
15;37;3;2
15;38;3;2
15;39;3;2
15;40;4;1
15;41;4;1
15;42;4;1
15;43;4;1
15;44;4;2
15;45;4;2
15;46;4;2
15;47;4;2
15;48;5;1
15;49;5;1
15;50;5;1
15;51;5;1
15;52;5;2
15;53;5;2
15;54;5;2
15;55;5;2
15;56;6;1
15;57;6;1
15;58;6;1
15;59;6;1
15;60;6;1
15;61;6;1
15;62;6;1
15;63;6;1
15;64;7;2
15;65;7;2
15;66;7;2
15;67;7;2
15;68;7;1
