code;name;credits
1023;Análisis Matemático I;8
1024;Elementos de Programación;8
1025;Sistemas de Representación;4
1026;Tecnología, Ingeniería y Sociedad;4
1027;Álgebra y Geometría Analítica I;8
1028;Matemática Discreta;4
1029;Química General;4
1030;Fundamentos de TIC's;8
1031;Física I;8
1032;Álgebra y Geometría Analítica II;4
1033;Análisis Matemático II;8
1073;Empresa y sus Estructuras;4
1035;Física II;8
1074;Elementos de Economía;4
1075;Probabilidad y Estadística;4
1076;Química Industrial;8
1077;Costos Industriales;4
1078;Física Superior;4
1079;Termodinámica y Máquinas Térmicas;8
1080;Organización Industrial;8
1081;Mecánica de Materiales;8
1082;Cálculo Numérico;4
1083;Mecánica y Mecanismos;8
1084;Estadística Aplicada;4
1085;Investigación Operativa;8
1086;Industrias I;4
1087;Finanzas de la Empresa;4
1088;Materiales Industriales;4
1089;Mecánica de Fluidos e Instalaciones Hidráulicas;4
1090;Máquinas e Instalaciones Eléctricas;8
1091;Higiene y Seguridad;4
1092;Organización de Empresas;4
1093;Emprendedorismo e Innovación;4
1094;Industrias II;4
1095;Transporte y Logística;4
1096;Ecología y Desarrollo Sustentable;4
1097;Gestión Comercial;4
1098;Proyectos de Ingeniería;4
1099;Práctica Profesional Supervisada (x);2
1100;Sistemas de Información;4
1101;Legislación General;4
1102;Gestión de la Calidad;4
1103;Automatización Industrial;4
1104;Industrias III;4
Taller;Problemática de la empresa productiva;2
1105;Gestión Industrial;4
1106;Construcciones Industriales;4
911;Computación I;4
912;Computación II;4
901;Inglés I;4
902;Inglés II;4
903;Inglés III;4
904;Inglés IV;4
